1101,1,7
1101,1,10
1101,1,11.5
1101,1,13
1101,1,14.5
1101,1,16
1101,1,17.5
1101,1,19
1101,1,20.5
1101,2,7
1101,2,8.5
1101,2,10
1101,2,11.5
1101,2,13
1101,2,14.5
1101,2,16
1101,2,19
1101,2,20.5
1101,3,7
1101,3,8.5
1101,3,10
1101,3,11.5
1101,3,13
1101,3,14.5
1101,3,16
1101,3,17.5
1101,3,19
1101,3,20.5
1101,4,7
1101,4,8.5
1101,4,11.5
1101,4,13
1101,4,14.5
1101,4,16
1101,4,17.5
1101,4,19
1101,4,20.5
1101,5,7
1101,5,8.5
1101,5,10
1101,5,13
1101,5,14.5
1101,5,16
1101,5,17.5
1101,5,19
1101,5,20.5
1102,1,7
1102,1,8.5
1102,1,10
1102,1,11.5
1102,1,13
1102,1,14.5
1102,1,16
1102,1,17.5
1102,1,19
1102,1,20.5
1102,2,8.5
1102,2,10
1102,2,11.5
1102,2,13
1102,2,14.5
1102,2,16
1102,2,17.5
1102,2,20.5
1102,3,7
1102,3,13
1102,3,14.5
1102,3,16
1102,3,17.5
1102,3,19
1102,3,20.5
1102,4,8.5
1102,4,10
1102,4,11.5
1102,4,13
1102,4,14.5
1102,4,16
1102,4,17.5
1102,4,19
1102,4,20.5
1102,5,7
1102,5,8.5
1102,5,13
1102,5,14.5
1102,5,16
1102,5,19
1102,5,20.5
1103,1,7
1103,1,10
1103,1,14.5
1103,1,16
1103,1,17.5
1103,1,19
1103,1,20.5
1103,2,7
1103,2,10
1103,2,11.5
1103,2,13
1103,2,16
1103,2,17.5
1103,2,19
1103,2,20.5
1103,3,10
1103,3,11.5
1103,3,13
1103,3,14.5
1103,3,16
1103,3,17.5
1103,3,19
1103,3,20.5
1103,4,8.5
1103,4,10
1103,4,11.5
1103,4,13
1103,4,14.5
1103,4,16
1103,4,17.5
1103,4,19
1103,4,20.5
1103,5,7
1103,5,8.5
1103,5,10
1103,5,11.5
1103,5,13
1103,5,14.5
1103,5,16
1103,5,17.5
1103,5,19
1104,1,7
1104,1,8.5
1104,1,10
1104,1,11.5
1104,1,13
1104,1,14.5
1104,1,16
1104,1,17.5
1104,1,19
1104,1,20.5
1104,2,7
1104,2,8.5
1104,2,10
1104,2,11.5
1104,2,13
1104,2,14.5
1104,2,16
1104,2,17.5
1104,2,19
1104,2,20.5
1104,3,7
1104,3,8.5
1104,3,10
1104,3,11.5
1104,3,13
1104,3,14.5
1104,3,16
1104,3,17.5
1104,3,19
1104,4,7
1104,4,8.5
1104,4,10
1104,4,11.5
1104,4,13
1104,4,14.5
1104,4,16
1104,4,17.5
1104,4,19
1104,4,20.5
1104,5,7
1104,5,8.5
1104,5,10
1104,5,11.5
1104,5,13
1104,5,14.5
1104,5,17.5
1104,5,19
1105,1,8.5
1105,1,13
1105,1,14.5
1105,1,16
1105,1,17.5
1105,1,19
1105,1,20.5
1105,2,11.5
1105,2,14.5
1105,2,16
1105,2,17.5
1105,2,19
1105,2,20.5
1105,3,7
1105,3,8.5
1105,3,11.5
1105,3,14.5
1105,3,16
1105,3,17.5
1105,3,19
1105,3,20.5
1105,4,7
1105,4,8.5
1105,4,10
1105,4,11.5
1105,4,13
1105,4,14.5
1105,4,16
1105,4,17.5
1105,5,8.5
1105,5,10
1105,5,11.5
1105,5,13
1105,5,14.5
1105,5,16
1105,5,17.5
1105,5,19
1105,5,20.5
1106,1,7
1106,1,8.5
1106,1,10
1106,1,11.5
1106,1,13
1106,1,14.5
1106,1,16
1106,1,17.5
1106,2,8.5
1106,2,10
1106,2,11.5
1106,2,13
1106,2,14.5
1106,2,16
1106,2,17.5
1106,2,19
1106,2,20.5
1106,3,7
1106,3,10
1106,3,11.5
1106,3,13
1106,3,14.5
1106,3,16
1106,3,17.5
1106,4,7
1106,4,8.5
1106,4,10
1106,4,11.5
1106,4,13
1106,4,17.5
1106,4,20.5
1106,5,7
1106,5,8.5
1106,5,10
1106,5,11.5
1106,5,13
1106,5,14.5
1106,5,16
1106,5,17.5
1106,5,20.5
1107,1,7
1107,1,8.5
1107,1,10
1107,1,11.5
1107,1,13
1107,1,14.5
1107,1,16
1107,1,17.5
1107,1,19
1107,1,20.5
1107,2,7
1107,2,8.5
1107,2,10
1107,2,13
1107,2,14.5
1107,2,16
1107,2,17.5
1107,2,19
1107,2,20.5
1107,3,7
1107,3,8.5
1107,3,10
1107,3,11.5
1107,3,13
1107,3,14.5
1107,3,16
1107,3,17.5
1107,3,19
1107,3,20.5
1107,4,7
1107,4,8.5
1107,4,10
1107,4,11.5
1107,4,13
1107,4,14.5
1107,4,16
1107,4,17.5
1107,4,19
1107,4,20.5
1107,5,7
1107,5,11.5
1107,5,13
1107,5,14.5
1107,5,19
1107,5,20.5
1108,1,13
1108,1,14.5
1108,1,19
1108,1,20.5
1108,2,10
1108,2,13
1108,2,14.5
1108,2,19
1108,2,20.5
1108,3,7
1108,3,8.5
1108,3,10
1108,3,11.5
1108,3,13
1108,3,14.5
1108,3,16
1108,3,17.5
1108,3,19
1108,3,20.5
1108,4,7
1108,4,8.5
1108,4,10
1108,4,13
1108,4,14.5
1108,4,19
1108,4,20.5
1108,5,7
1108,5,8.5
1108,5,10
1108,5,11.5
1108,5,13
1108,5,14.5
1108,5,16
1108,5,17.5
1108,5,20.5
1109,1,7
1109,1,8.5
1109,1,10
1109,1,11.5
1109,1,13
1109,1,14.5
1109,1,16
1109,1,17.5
1109,1,19
1109,2,7
1109,2,8.5
1109,2,10
1109,2,11.5
1109,2,13
1109,2,14.5
1109,2,16
1109,2,17.5
1109,3,7
1109,3,11.5
1109,3,13
1109,3,19
1109,3,20.5
1109,4,7
1109,4,8.5
1109,4,10
1109,4,11.5
1109,4,13
1109,4,14.5
1109,4,16
1109,5,7
1109,5,13
1110,1,8.5
1110,1,10
1110,1,11.5
1110,1,13
1110,1,20.5
1110,2,7
1110,2,8.5
1110,2,10
1110,2,11.5
1110,2,13
1110,2,14.5
1110,2,16
1110,2,17.5
1110,3,8.5
1110,3,10
1110,3,11.5
1110,3,13
1110,3,14.5
1110,3,16
1110,3,17.5
1110,3,19
1110,3,20.5
1110,4,7
1110,4,8.5
1110,4,10
1110,4,13
1110,4,14.5
1110,4,16
1110,4,17.5
1110,4,19
1110,4,20.5
1110,5,7
1110,5,8.5
1110,5,10
1110,5,11.5
1110,5,13
